forecastdate,state,primarydate,total,bidenvote,bloombergvote,bookervote,buttigiegvote,klobucharvote,sandersvote,steyervote,warrenvote,yangvote,bidenwin,bloombergwin,bookerwin,buttigiegwin,klobucharwin,sanderswin,steyerwin,warrenwin,yangwin,bidendel,bloombergdel,bookerdel,buttigiegdel,klobuchardel,sandersdel,steyerdel,warrendel,yangdel
2019-06-01,Iowa,2020-02-03,41,39.0,0.0,2.6,13.5,3.8,22.5,0.0,10.0,1.1,49.1,0.0,3.4,9.5,4.3,18.8,2.5,6.7,2.7,23,0,0.0,4.0,0.0,13,0.0,1,0.0
2019-06-01,New Hampshire,2020-02-11,24,38.0,0.0,2.4,11.3,1.9,17.4,0.0,10.1,1.4,50.7,0.0,3.8,8.9,3.9,14.4,3.3,7.5,3.9,15,0,0.0,1.0,0.0,7,0.0,1,0.0
2019-06-01,Nevada,2020-02-22,36,35.3,0.0,0.9,9.1,1.1,22.7,0.0,11.1,3.5,43.4,0.0,4.0,7.5,3.9,20.7,3.4,8.5,4.7,20,0,0.0,1.0,0.0,13,0.0,2,0.0
2019-06-01,South Carolina,2020-02-29,54,52.4,0.0,3.3,4.8,0.7,13.3,0.0,10.0,1.0,71.5,0.0,3.0,3.4,2.4,7.1,1.9,5.4,2.4,47,0,0.0,0.0,0.0,5,0.0,2,0.0
2019-06-01,Alabama,2020-03-03,52,49.1,0.0,5.7,5.8,2.3,13.6,0.0,6.7,0.7,66.7,0.0,4.1,4.3,3.4,8.3,2.7,4.7,2.8,47,0,0.0,0.0,0.0,5,0.0,0,0.0
2019-06-01,American Samoa,2020-03-03,6,39.7,0.0,2.7,6.8,1.6,20.3,0.0,9.0,1.1,51.2,0.0,4.1,5.5,3.9,17.2,3.4,6.9,3.9,4,0,0.0,0.0,0.0,2,0.0,0,0.0
2019-06-01,Arkansas,2020-03-03,31,45.7,0.0,4.3,7.3,3.1,15.9,0.0,4.5,0.4,61.4,0.0,4.1,5.2,4.1,11.0,2.7,4.2,3.1,23,0,0.0,0.0,0.0,8,0.0,0,0.0
2019-06-01,California,2020-03-03,416,35.0,0.0,1.1,10.8,0.6,22.7,0.0,11.0,1.8,42.4,0.0,3.9,8.6,3.8,21.0,3.4,8.8,4.3,231,0,0.0,17.0,0.0,150,0.0,18,0.0
2019-06-01,Colorado,2020-03-03,67,37.1,0.0,0.5,7.1,0.3,24.9,0.0,10.0,5.8,44.6,0.0,3.3,6.1,4.0,22.7,3.2,7.3,5.3,39,0,0.0,0.0,0.0,26,0.0,2,0.0
2019-06-01,Democrats Abroad,2020-03-03,13,39.7,0.0,2.7,6.8,1.6,20.3,0.0,9.0,1.1,51.4,0.0,4.0,5.9,4.1,17.2,3.2,6.9,3.6,9,0,0.0,0.0,0.0,4,0.0,0,0.0
2019-06-01,Maine,2020-03-03,24,33.5,0.0,2.5,10.0,0.6,23.3,0.0,9.5,2.0,39.9,0.0,4.5,8.8,4.0,22.0,3.6,8.0,4.6,13,0,0.0,1.0,0.0,9,0.0,1,0.0
2019-06-01,Massachusetts,2020-03-03,91,31.6,0.0,2.7,13.8,1.6,23.1,0.0,17.9,1.2,34.2,0.0,4.0,10.7,4.5,21.5,3.5,14.1,3.8,35,0,0.0,10.0,0.0,26,0.0,20,0.0
2019-06-01,Minnesota,2020-03-03,75,47.5,0.0,0.7,13.0,18.3,24.3,0.0,11.3,0.3,55.4,0.0,2.0,6.2,10.0,15.4,1.7,5.2,2.0,34,0,0.0,6.0,13.0,18,0.0,4,0.0
2019-06-01,North Carolina,2020-03-03,110,45.5,0.0,3.0,5.4,3.2,16.6,0.0,7.0,0.2,61.0,0.0,3.5,4.8,3.9,11.9,3.0,5.2,3.1,80,0,0.0,0.0,0.0,29,0.0,1,0.0
2019-06-01,Oklahoma,2020-03-03,37,47.3,0.0,4.8,4.5,2.6,16.6,1.2,4.4,0.4,63.9,0.0,3.9,3.6,3.9,11.2,2.8,3.9,2.9,27,0,0.0,0.0,0.0,10,0.0,0,0.0
2019-06-01,Tennessee,2020-03-03,64,46.6,0.0,3.6,7.1,3.4,15.4,0.0,5.8,0.3,63.1,0.0,3.8,4.7,4.0,10.4,2.9,4.6,3.2,48,0,0.0,0.0,0.0,16,0.0,0,0.0
2019-06-01,Texas,2020-03-03,228,38.4,0.0,1.2,12.1,2.1,17.4,0.0,8.0,3.1,48.9,0.0,3.9,9.6,4.4,14.8,3.2,6.5,4.4,145,0,0.0,15.0,0.0,65,0.0,3,0.0
2019-06-01,Utah,2020-03-03,29,40.4,0.0,0.7,8.6,2.7,18.1,0.0,11.6,0.9,51.8,0.0,3.3,6.8,4.3,14.3,2.8,8.4,3.8,19,0,0.0,0.0,0.0,8,0.0,2,0.0
2019-06-01,Vermont,2020-03-03,16,41.3,0.0,2.6,12.8,0.8,49.8,0.0,14.7,3.2,32.1,0.0,1.6,4.5,1.5,50.5,1.3,4.9,2.0,6,0,0.0,1.0,0.0,7,0.0,2,0.0
2019-06-01,Virginia,2020-03-03,99,44.4,0.0,3.2,8.5,2.3,15.8,0.0,8.4,0.6,58.9,0.0,3.7,6.2,4.2,11.3,2.7,6.3,3.3,72,0,0.0,1.0,0.0,25,0.0,1,0.0
2019-06-01,Idaho,2020-03-10,20,41.9,0.0,0.7,8.5,4.6,15.1,0.0,11.0,0.0,54.2,0.0,3.3,7.0,5.5,11.6,3.0,7.7,3.5,14,0,0.0,0.0,0.0,5,0.0,1,0.0
2019-06-01,Michigan,2020-03-10,125,42.1,0.0,1.2,7.6,2.8,20.6,0.0,10.5,1.0,52.8,0.0,3.3,5.8,4.2,16.7,3.2,7.4,3.3,81,0,0.0,1.0,0.0,39,0.0,4,0.0
2019-06-01,Mississippi,2020-03-10,36,46.7,0.0,5.5,5.4,2.2,16.2,0.0,5.2,0.3,62.5,0.0,4.5,4.6,3.7,11.3,2.6,4.2,3.0,27,0,0.0,0.0,0.0,9,0.0,0,0.0
2019-06-01,Missouri,2020-03-10,68,45.7,0.0,3.4,6.2,3.2,16.8,0.0,6.8,0.5,60.3,0.0,4.2,5.0,4.3,11.8,3.0,5.0,2.9,50,0,0.0,0.0,0.0,18,0.0,0,0.0
2019-06-01,North Dakota,2020-03-10,14,41.8,0.0,1.3,9.3,3.7,15.9,0.0,10.7,0.3,53.9,0.0,3.4,7.2,4.6,11.9,3.2,8.0,3.4,9,0,0.0,0.0,0.0,4,0.0,1,0.0
2019-06-01,Washington,2020-03-10,89,36.5,0.0,1.6,7.1,0.6,27.1,0.0,10.3,6.4,41.9,0.0,3.5,5.9,3.7,25.1,3.2,7.5,5.8,49,0,0.0,1.0,0.0,36,0.0,3,0.0
