date,dataPoint,candidate,percentage
2019-06-01,1,Biden,39.0
2019-06-01,3,Biden,38.0
2019-06-01,5,Biden,35.3
2019-06-01,7,Biden,52.4
2019-06-01,9,Biden,49.1
2019-06-01,11,Biden,39.7
2019-06-01,13,Biden,45.7
2019-06-01,15,Biden,35.0
2019-06-01,17,Biden,37.1
2019-06-01,19,Biden,39.7
2019-06-01,21,Biden,33.5
2019-06-01,23,Biden,31.6
2019-06-01,25,Biden,47.5
2019-06-01,27,Biden,45.5
2019-06-01,29,Biden,47.3
2019-06-01,31,Biden,46.6
2019-06-01,33,Biden,38.4
2019-06-01,35,Biden,40.4
2019-06-01,37,Biden,41.3
2019-06-01,39,Biden,44.4
2019-06-01,41,Biden,41.9
2019-06-01,43,Biden,42.1
2019-06-01,45,Biden,46.7
2019-06-01,47,Biden,45.7
2019-06-01,49,Biden,41.8
2019-06-01,51,Biden,36.5
2019-06-01,53,Biden,39.7
2019-06-01,55,Biden,39.7
2019-06-01,57,Biden,40.8
2019-06-01,59,Biden,48.5
2019-06-01,61,Biden,43.7
2019-06-01,63,Biden,45.8
2019-06-01,65,Biden,39.7
2019-06-01,67,Biden,39.2
2019-06-01,69,Biden,36.0
2019-06-01,71,Biden,46.5
2019-06-01,73,Biden,39.9
2019-06-01,75,Biden,34.0
2019-06-01,77,Biden,33.5
2019-06-01,79,Biden,48.4
2019-06-01,81,Biden,35.8
2019-06-01,83,Biden,39.9
2019-06-01,85,Biden,44.3
2019-06-01,87,Biden,35.9
2019-06-01,89,Biden,39.7
2019-06-01,91,Biden,41.8
2019-06-01,93,Biden,45.0
2019-06-01,95,Biden,42.8
2019-06-01,97,Biden,47.5
2019-06-01,99,Biden,45.9
2019-06-01,101,Biden,37.3
2019-06-01,103,Biden,38.6
2019-06-01,105,Biden,39.9
2019-06-01,107,Biden,39.8
2019-06-01,109,Biden,37.1
2019-06-01,111,Biden,41.5
2019-06-01,113,Biden,39.7
2019-06-01,-1,Biden,41.2
2019-06-01,1,Bloomberg,0.0
2019-06-01,3,Bloomberg,0.0
2019-06-01,5,Bloomberg,0.8
2019-06-01,7,Bloomberg,2.2
2019-06-01,9,Bloomberg,1.4
2019-06-01,11,Bloomberg,0.8
2019-06-01,13,Bloomberg,2.7
2019-06-01,15,Bloomberg,0.5
2019-06-01,17,Bloomberg,0.3
2019-06-01,19,Bloomberg,0.8
2019-06-01,21,Bloomberg,1.2
2019-06-01,23,Bloomberg,0.0
2019-06-01,25,Bloomberg,0.0
2019-06-01,27,Bloomberg,1.7
2019-06-01,29,Bloomberg,3.2
2019-06-01,31,Bloomberg,1.8
