date,dataPoint,candidate,percentage
2020-02-03,1,Biden,16.0
2020-02-11,1,Biden,32.0
2020-02-22,1,Biden,51.0
2020-02-29,1,Biden,102.0
2020-03-03,1,Biden,879.0
2020-03-10,1,Biden,1153.0
2020-03-14,1,Biden,1203.0
2020-03-17,1,Biden,1497.0
2020-03-24,1,Biden,1572.0
2020-03-29,1,Biden,1586.0
2020-04-04,1,Biden,1692.0
2020-04-07,1,Biden,1720.0
2020-04-28,1,Biden,2049.0
2020-05-02,1,Biden,2116.0
2020-05-05,1,Biden,2135.0
2020-05-12,1,Biden,2213.0
2020-05-19,1,Biden,2263.0
2020-06-02,1,Biden,2363.0
2020-06-06,1,Biden,2396.0
2020-02-03,1,Bloomberg,0.0
2020-02-11,1,Bloomberg,0.0
2020-02-22,1,Bloomberg,0.0
2020-02-29,1,Bloomberg,0.0
2020-03-03,1,Bloomberg,0.0
2020-03-10,1,Bloomberg,0.0
2020-03-14,1,Bloomberg,0.0
2020-03-17,1,Bloomberg,0.0
2020-03-24,1,Bloomberg,0.0
2020-03-29,1,Bloomberg,0.0
2020-04-04,1,Bloomberg,0.0
2020-04-07,1,Bloomberg,0.0
2020-04-28,1,Bloomberg,5.0
2020-05-02,1,Bloomberg,5.0
2020-05-05,1,Bloomberg,5.0
2020-05-12,1,Bloomberg,5.0
2020-05-19,1,Bloomberg,5.0
2020-06-02,1,Bloomberg,5.0
2020-06-06,1,Bloomberg,5.0
2020-02-03,1,Booker,0.0
2020-02-11,1,Booker,0.0
2020-02-22,1,Booker,0.0
2020-02-29,1,Booker,0.0
2020-03-03,1,Booker,0.0
2020-03-10,1,Booker,0.0
2020-03-14,1,Booker,0.0
2020-03-17,1,Booker,0.0
2020-03-24,1,Booker,0.0
2020-03-29,1,Booker,0.0
2020-04-04,1,Booker,0.0
2020-04-07,1,Booker,0.0
2020-04-28,1,Booker,0.0
2020-05-02,1,Booker,0.0
2020-05-05,1,Booker,0.0
2020-05-12,1,Booker,0.0
2020-05-19,1,Booker,0.0
2020-06-02,1,Booker,24.0
2020-06-06,1,Booker,24.0
2020-02-03,1,Buttigieg,8.0
2020-02-11,1,Buttigieg,8.0
2020-02-22,1,Buttigieg,8.0
2020-02-29,1,Buttigieg,8.0
2020-03-03,1,Buttigieg,25.0
2020-03-10,1,Buttigieg,25.0
2020-03-14,1,Buttigieg,25.0
2020-03-17,1,Buttigieg,28.0
2020-03-24,1,Buttigieg,28.0
2020-03-29,1,Buttigieg,28.0
2020-04-04,1,Buttigieg,28.0
2020-04-07,1,Buttigieg,29.0
2020-04-28,1,Buttigieg,50.0
2020-05-02,1,Buttigieg,72.0
2020-05-05,1,Buttigieg,72.0
2020-05-12,1,Buttigieg,72.0
2020-05-19,1,Buttigieg,72.0
2020-06-02,1,Buttigieg,74.0
2020-06-06,1,Buttigieg,74.0
2020-02-03,1,Klobuchar,0.0
2020-02-11,1,Klobuchar,0.0
2020-02-22,1,Klobuchar,0.0
